sample
TCGA-3C-AAAU-01A
TCGA-3C-AALI-01A
TCGA-A1-A0SK-01A
TCGA-A2-A04N-01A
TCGA-A2-A04Q-01A
TCGA-A2-A04R-01A
TCGA-A2-A04T-01A
TCGA-A2-A04U-01A
TCGA-A2-A04W-01A
TCGA-A2-A0CK-01A
TCGA-A2-A0CL-01A
TCGA-A2-A0CM-01A
TCGA-A2-A0CO-01A
TCGA-A2-A0CP-01A
TCGA-A2-A0CQ-01A
TCGA-A2-A0CR-01A
TCGA-A2-A0CT-01A
TCGA-A2-A0CU-01A
TCGA-A2-A0CV-01A
TCGA-A2-A0CW-01A
TCGA-A2-A0D0-01A
TCGA-A2-A0D3-01A
TCGA-A2-A0EM-01A
TCGA-A2-A0EN-01A
TCGA-A2-A0EO-01A
TCGA-A2-A0EP-01A
TCGA-A2-A0EQ-01A
TCGA-A2-A0ER-01A
TCGA-A2-A0ES-01A
TCGA-A2-A0EY-01A
TCGA-A2-A0ST-01A
TCGA-A2-A0SV-01A
TCGA-A2-A0SW-01A
TCGA-A2-A0T2-01A
TCGA-A2-A0YT-01A
TCGA-A2-A1FX-01A
TCGA-A2-A25A-01A
TCGA-A2-A25E-01A
TCGA-A2-A3XS-01A
TCGA-A2-A3XT-01A
TCGA-A2-A3XU-01A
TCGA-A2-A3XX-01A
TCGA-A2-A3XY-01A
TCGA-A8-A06U-01A
TCGA-A8-A06X-01A
TCGA-A8-A08J-01A
TCGA-A8-A08L-01A
TCGA-A8-A09X-01A
TCGA-AC-A23G-01A
TCGA-AC-A2BK-01A
TCGA-AC-A2BM-01A
TCGA-AC-A2FF-01A
TCGA-AC-A2FG-01A
TCGA-AC-A2FK-01A
TCGA-AC-A2FM-01A
TCGA-AC-A2FO-01A
TCGA-AC-A2QJ-01A
TCGA-AC-A3EH-01A
TCGA-AC-A62V-01A
TCGA-AO-A03L-01A
TCGA-AO-A03M-01B
TCGA-AO-A03R-01A
TCGA-AO-A03U-01B
TCGA-AO-A0J5-01A
TCGA-AO-A0JD-01A
TCGA-AO-A0JE-01A
TCGA-AO-A0JF-01A
TCGA-AO-A0JJ-01A
TCGA-AO-A0JM-01A
TCGA-AO-A124-01A
TCGA-AO-A125-01A
TCGA-AO-A126-01A
TCGA-AO-A128-01A
TCGA-AO-A129-01A
TCGA-AO-A12A-01A
TCGA-AO-A12B-01A
TCGA-AO-A12C-01A
TCGA-AO-A12D-01A
TCGA-AO-A12E-01A
TCGA-AO-A12F-01A
TCGA-AO-A1KP-01A
TCGA-AO-A1KQ-01A
TCGA-AO-A1KR-01A
TCGA-AQ-A04L-01B
TCGA-AQ-A0Y5-01A
TCGA-AQ-A7U7-01A
TCGA-AR-A0TP-01A
TCGA-AR-A0TQ-01A
TCGA-AR-A0TR-01A
TCGA-AR-A0TS-01A
TCGA-AR-A0TT-01A
TCGA-AR-A0TV-01A
TCGA-AR-A0TW-01A
TCGA-AR-A0TX-01A
TCGA-AR-A0TY-01A
TCGA-AR-A0U0-01A
TCGA-AR-A0U3-01A
TCGA-AR-A0U4-01A
TCGA-AR-A1AH-01A
TCGA-AR-A1AI-01A
TCGA-AR-A1AJ-01A
TCGA-AR-A1AK-01A
TCGA-AR-A1AL-01A
TCGA-AR-A1AM-01A
TCGA-AR-A1AN-01A
TCGA-AR-A1AO-01A
TCGA-AR-A1AP-01A
TCGA-AR-A1AQ-01A
TCGA-AR-A1AR-01A
TCGA-AR-A1AT-01A
TCGA-AR-A1AU-01A
TCGA-AR-A1AV-01A
TCGA-AR-A1AW-01A
TCGA-AR-A1AX-01A
TCGA-AR-A24H-01A
TCGA-AR-A24M-01A
TCGA-AR-A24N-01A
TCGA-AR-A24O-01A
TCGA-AR-A24Q-01A
TCGA-AR-A24R-01A
TCGA-AR-A24S-01A
TCGA-AR-A24T-01A
TCGA-AR-A24U-01A
TCGA-AR-A24V-01A
TCGA-AR-A24X-01A
TCGA-AR-A24Z-01A
TCGA-AR-A250-01A
TCGA-AR-A252-01A
TCGA-AR-A254-01A
TCGA-AR-A255-01A
TCGA-AR-A2LE-01A
TCGA-AR-A2LH-01A
TCGA-AR-A2LJ-01A
TCGA-AR-A2LK-01A
TCGA-AR-A2LL-01A
TCGA-AR-A2LM-01A
TCGA-AR-A5QM-01A
TCGA-AR-A5QQ-01A
TCGA-B6-A0I2-01A
TCGA-B6-A0I5-01A
TCGA-B6-A0I6-01A
TCGA-B6-A0I8-01A
TCGA-B6-A0I9-01A
TCGA-B6-A0IA-01A
TCGA-B6-A0IJ-01A
TCGA-B6-A0IK-01A
TCGA-B6-A0IO-01A
TCGA-B6-A0IQ-01A
TCGA-B6-A0RE-01A
TCGA-B6-A0RG-01A
TCGA-B6-A0RI-01A
TCGA-B6-A0RN-01A
TCGA-B6-A0RO-01A
TCGA-B6-A0RT-01A
TCGA-B6-A0RU-01A
TCGA-B6-A0RV-01A
TCGA-B6-A0WT-01A
TCGA-B6-A0WW-01A
TCGA-B6-A0WX-01A
TCGA-B6-A0WZ-01A
TCGA-B6-A0X4-01A
TCGA-B6-A0X7-01A
TCGA-B6-A1KF-01A
TCGA-B6-A1KI-01A
TCGA-B6-A1KN-01A
TCGA-B6-A2IU-01A
TCGA-B6-A3ZX-01A
TCGA-B6-A401-01A
TCGA-B6-A402-01A
TCGA-B6-A408-01A
TCGA-B6-A409-01A
TCGA-B6-A40B-01A
TCGA-B6-A40C-01A
TCGA-BH-A0AU-01A
TCGA-BH-A0AZ-01A
TCGA-BH-A0B0-01A
TCGA-BH-A0B5-01A
TCGA-BH-A0B6-01A
TCGA-BH-A0B7-01A
TCGA-BH-A0BF-01A
TCGA-BH-A0BG-01A
TCGA-BH-A0BL-01A
TCGA-BH-A0BM-01A
TCGA-BH-A0BO-01A
TCGA-BH-A0BQ-01A
TCGA-BH-A0BR-01A
TCGA-BH-A0BS-01A
TCGA-BH-A0BT-01A
TCGA-BH-A0BW-01A
TCGA-BH-A0BZ-01A
TCGA-BH-A0C1-01B
TCGA-BH-A0C3-01A
TCGA-BH-A0C7-01B
TCGA-BH-A0DD-01A
TCGA-BH-A0DE-01A
TCGA-BH-A0DG-01A
TCGA-BH-A0DL-01A
TCGA-BH-A0DT-01A
TCGA-BH-A0DV-01A
TCGA-BH-A0DX-01A
TCGA-BH-A0E9-01B
TCGA-BH-A0EA-01A
TCGA-BH-A0EI-01A
TCGA-BH-A0H3-01A
TCGA-BH-A18J-01A
TCGA-BH-A18L-01A
TCGA-BH-A18N-01A
TCGA-BH-A18P-01A
TCGA-BH-A18Q-01A
TCGA-BH-A18R-01A
TCGA-BH-A18T-01A
TCGA-BH-A18U-01A
TCGA-BH-A18V-01A
TCGA-BH-A1EV-01A
TCGA-BH-A1EW-01A
TCGA-BH-A1EX-01A
TCGA-BH-A1EY-01A
TCGA-BH-A1F0-01A
TCGA-BH-A1F2-01A
TCGA-BH-A1F8-01A
